"CUZD1"	"ADEX"
"PAQR8"	"not unique"
"CTRC"	"ADEX"
"CEL"	"ADEX"
"CELA3B"	"ADEX"
"CPA1"	"ADEX"
"CPA2"	"ADEX"
"CLDN18"	"not unique"
"CLPS"	"ADEX"
"MZB1"	"Immunogenic"
"PNLIPRP1"	"ADEX"
"SERPINI2"	"ADEX"
"KIAA1211"	"not unique"
"PIP5K1B"	"not unique"
"CRYL1"	"Progenitor"
"RBPJL"	"ADEX"
"PKDCC"	"not unique"
"REG1P"	"ADEX"
"AQP8"	"ADEX"
"IQGAP2"	"not unique"
"KCNE3"	"not unique"
"CTSE"	"not unique"
"IGKV1-12"	"Immunogenic"
"CTRB1"	"ADEX"
"IGKC"	"Immunogenic"
"AC096579.7"	"Immunogenic"
"AC021218.2"	"not unique"
"FAM134B"	"not unique"
"IGHG1"	"Immunogenic"
"C9orf152"	"not unique"
"ATP2A3"	"not unique"
"SOWAHA"	"not unique"
"SHH"	"not unique"
"LYZ"	"not unique"
"C2orf72"	"not unique"
"PRSS1"	"ADEX"
"IGLV2-14"	"Immunogenic"
"GSDMC"	"Squamous"
"CYSTM1"	"not unique"
"RP11-331F4.4"	"ADEX"
"CSDA"	"Squamous"
"CELA3A"	"ADEX"
"DERL3"	"Immunogenic"
"TM4SF5"	"not unique"
"IGKV1D-39"	"Immunogenic"
"CTRB2"	"ADEX"
"FMO5"	"not unique"
"REPS2"	"not unique"
"REG3G"	"ADEX"
"BTNL8"	"not unique"
"PTPRN2"	"Progenitor"
"ADD3"	"not unique"
"SELENBP1"	"Progenitor"
"PLA2G1B"	"ADEX"
"TFF1"	"not unique"
"CYP2C18"	"not unique"
"PIM2"	"Immunogenic"
"ANXA4"	"not unique"
"ABP1"	"not unique"
"IGHV1-18"	"Immunogenic"
"IGKV3-11"	"Immunogenic"
"TM9SF3"	"Immunogenic"
"SMPD3"	"Progenitor"
"IGLC3"	"Immunogenic"
"SSTR1"	"not unique"
"MARCH3"	"Progenitor"
"GATA6"	"Immunogenic"
"PLA2G10"	"not unique"
"IGKV3-15"	"Immunogenic"
"IGHV4-34"	"Immunogenic"
"CTRL"	"ADEX"
"FAM177B"	"not unique"
"SEL1L3"	"Immunogenic"
"IGHG3"	"Immunogenic"
"LINC00675"	"not unique"
"IGKV4-1"	"Immunogenic"
"IHH"	"not unique"
"TSPAN3"	"Progenitor"
"MIR205HG"	"Squamous"
"REG4"	"not unique"
"IGJ"	"Immunogenic"
"ALDH2"	"not unique"
"APLP1"	"ADEX"
"IGHV5-51"	"Immunogenic"
"DENND2C"	"Squamous"
"SH3BGRL2"	"Immunogenic"
"IGHV3-53"	"Immunogenic"
"FCRL5"	"Immunogenic"
"LRRC66"	"not unique"
"CADPS2"	"Immunogenic"
"IGLV2-23"	"Immunogenic"
"ZFPM1"	"not unique"
"CAPN9"	"not unique"
"IGHA1"	"Immunogenic"
"SYCN"	"ADEX"
"ANKS4B"	"Progenitor"
"EXOC6"	"not unique"
"CD79A"	"Immunogenic"
"IGKV2-28"	"Immunogenic"
"IGLV3-19"	"Immunogenic"
"IGLV1-40"	"Immunogenic"
"IGLL5"	"Immunogenic"
"PRR15L"	"not unique"
"IGKV1-6"	"Immunogenic"
"IGHV1-58"	"Immunogenic"
"IGLV3-1"	"Immunogenic"
"DDC"	"not unique"
"GP2"	"ADEX"
"PDX1"	"not unique"
"LAX1"	"Immunogenic"
"IGHV2-70"	"Immunogenic"
"RALGPS1"	"Progenitor"
"IGHV4-59"	"Immunogenic"
"TNFRSF17"	"Immunogenic"
"NR1I2"	"not unique"
"HNF4G"	"not unique"
"PLS1"	"not unique"
"FAM46C"	"Immunogenic"
"HNF4A"	"not unique"
"IGHV3-48"	"Immunogenic"
"IGHV3-74"	"Immunogenic"
"RP11-627G18.3"	"not unique"
"PARD3B"	"not unique"
"IGLV4-69"	"Immunogenic"
"TSPAN8"	"not unique"
"TMEM98"	"Immunogenic"
"IGHG2"	"Immunogenic"
"IGKV3-20"	"Immunogenic"
"IGHV3-49"	"Immunogenic"
"MUC17"	"not unique"
