Source Name	Characteristics[organism]	Characteristics[disease]	Characteristics[individual]	Characteristics[cell line]	Characteristics[cell type]	Characteristics[xenograft]	Characteristics[xenograft host organism]	Material Type	Protocol REF	Protocol REF	Extract Name	Protocol REF	Labeled Extract Name	Label	Protocol REF	Assay Name	Technology Type	Array Design REF	Term Source REF	Protocol REF	Array Data Matrix File	Comment [ArrayExpress Data Matrix FTP file]	Protocol REF	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Factor Value[individual]	Factor Value[cell line]	Factor Value[xenograft]
Paco10 early_6142069129_F	Homo sapiens	pancreatic ductal adenocarcinoma	Paco10 early_6142069129_F	PACO10	cancer cell line	no xenograft	not applicable	cell	P-MTAB-47264	P-MTAB-47267	Paco10 early_6142069129_F	P-MTAB-47268	Paco10 early_6142069129_F:Biotin	Biotin	P-MTAB-47269	Paco10 early_6142069129_F:Biotin	array assay	A-MEXP-2072	ArrayExpress	P-MTAB-47271	PACO_lines_raw_data.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4029/E-MTAB-4029.raw.1.zip	P-MTAB-47270	PACO_line_qnorm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4029/E-MTAB-4029.processed.1.zip	Paco10 early_6142069129_F	PACO10	no xenograft
Paco10 late_6142069129_L	Homo sapiens	pancreatic ductal adenocarcinoma	Paco10 late_6142069129_L	PACO10	cancer cell line	no xenograft	not applicable	cell	P-MTAB-47264	P-MTAB-47267	Paco10 late_6142069129_L	P-MTAB-47268	Paco10 late_6142069129_L:Biotin	Biotin	P-MTAB-47269	Paco10 late_6142069129_L:Biotin	array assay	A-MEXP-2072	ArrayExpress	P-MTAB-47271	PACO_lines_raw_data.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4029/E-MTAB-4029.raw.1.zip	P-MTAB-47270	PACO_line_qnorm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4029/E-MTAB-4029.processed.1.zip	Paco10 late_6142069129_L	PACO10	no xenograft
Paco14 early_6247207005_L	Homo sapiens	pancreatic ductal adenocarcinoma	Paco14 early_6247207005_L	PACO14	cancer cell line	no xenograft	not applicable	cell	P-MTAB-47264	P-MTAB-47267	Paco14 early_6247207005_L	P-MTAB-47268	Paco14 early_6247207005_L:Biotin	Biotin	P-MTAB-47269	Paco14 early_6247207005_L:Biotin	array assay	A-MEXP-2072	ArrayExpress	P-MTAB-47271	PACO_lines_raw_data.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4029/E-MTAB-4029.raw.1.zip	P-MTAB-47270	PACO_line_qnorm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4029/E-MTAB-4029.processed.1.zip	Paco14 early_6247207005_L	PACO14	no xenograft
Paco14 late_6247207005_K	Homo sapiens	pancreatic ductal adenocarcinoma	Paco14 late_6247207005_K	PACO14	cancer cell line	no xenograft	not applicable	cell	P-MTAB-47264	P-MTAB-47267	Paco14 late_6247207005_K	P-MTAB-47268	Paco14 late_6247207005_K:Biotin	Biotin	P-MTAB-47269	Paco14 late_6247207005_K:Biotin	array assay	A-MEXP-2072	ArrayExpress	P-MTAB-47271	PACO_lines_raw_data.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4029/E-MTAB-4029.raw.1.zip	P-MTAB-47270	PACO_line_qnorm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4029/E-MTAB-4029.processed.1.zip	Paco14 late_6247207005_K	PACO14	no xenograft
Paco17 early_6235804021_E	Homo sapiens	pancreatic ductal adenocarcinoma	Paco17 early_6235804021_E	PACO17	cancer cell line	no xenograft	not applicable	cell	P-MTAB-47264	P-MTAB-47267	Paco17 early_6235804021_E	P-MTAB-47268	Paco17 early_6235804021_E:Biotin	Biotin	P-MTAB-47269	Paco17 early_6235804021_E:Biotin	array assay	A-MEXP-2072	ArrayExpress	P-MTAB-47271	PACO_lines_raw_data.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4029/E-MTAB-4029.raw.1.zip	P-MTAB-47270	PACO_line_qnorm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4029/E-MTAB-4029.processed.1.zip	Paco17 early_6235804021_E	PACO17	no xenograft
Paco17 late_6235804021_F	Homo sapiens	pancreatic ductal adenocarcinoma	Paco17 late_6235804021_F	PACO17	cancer cell line	no xenograft	not applicable	cell	P-MTAB-47264	P-MTAB-47267	Paco17 late_6235804021_F	P-MTAB-47268	Paco17 late_6235804021_F:Biotin	Biotin	P-MTAB-47269	Paco17 late_6235804021_F:Biotin	array assay	A-MEXP-2072	ArrayExpress	P-MTAB-47271	PACO_lines_raw_data.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4029/E-MTAB-4029.raw.1.zip	P-MTAB-47270	PACO_line_qnorm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4029/E-MTAB-4029.processed.1.zip	Paco17 late_6235804021_F	PACO17	no xenograft
Paco18 early_6235804021_G	Homo sapiens	pancreatic ductal adenocarcinoma	Paco18 early_6235804021_G	PACO18	cancer cell line	no xenograft	not applicable	cell	P-MTAB-47264	P-MTAB-47267	Paco18 early_6235804021_G	P-MTAB-47268	Paco18 early_6235804021_G:Biotin	Biotin	P-MTAB-47269	Paco18 early_6235804021_G:Biotin	array assay	A-MEXP-2072	ArrayExpress	P-MTAB-47271	PACO_lines_raw_data.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4029/E-MTAB-4029.raw.1.zip	P-MTAB-47270	PACO_line_qnorm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4029/E-MTAB-4029.processed.1.zip	Paco18 early_6235804021_G	PACO18	no xenograft
Paco18 late_6235804021_H	Homo sapiens	pancreatic ductal adenocarcinoma	Paco18 late_6235804021_H	PACO18	cancer cell line	no xenograft	not applicable	cell	P-MTAB-47264	P-MTAB-47267	Paco18 late_6235804021_H	P-MTAB-47268	Paco18 late_6235804021_H:Biotin	Biotin	P-MTAB-47269	Paco18 late_6235804021_H:Biotin	array assay	A-MEXP-2072	ArrayExpress	P-MTAB-47271	PACO_lines_raw_data.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4029/E-MTAB-4029.raw.1.zip	P-MTAB-47270	PACO_line_qnorm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4029/E-MTAB-4029.processed.1.zip	Paco18 late_6235804021_H	PACO18	no xenograft
Paco19 early_6235804021_I	Homo sapiens	pancreatic ductal adenocarcinoma	Paco19 early_6235804021_I	PACO19	cancer cell line	no xenograft	not applicable	cell	P-MTAB-47264	P-MTAB-47267	Paco19 early_6235804021_I	P-MTAB-47268	Paco19 early_6235804021_I:Biotin	Biotin	P-MTAB-47269	Paco19 early_6235804021_I:Biotin	array assay	A-MEXP-2072	ArrayExpress	P-MTAB-47271	PACO_lines_raw_data.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4029/E-MTAB-4029.raw.1.zip	P-MTAB-47270	PACO_line_qnorm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4029/E-MTAB-4029.processed.1.zip	Paco19 early_6235804021_I	PACO19	no xenograft
Paco19 late_6235804021_J	Homo sapiens	pancreatic ductal adenocarcinoma	Paco19 late_6235804021_J	PACO19	cancer cell line	no xenograft	not applicable	cell	P-MTAB-47264	P-MTAB-47267	Paco19 late_6235804021_J	P-MTAB-47268	Paco19 late_6235804021_J:Biotin	Biotin	P-MTAB-47269	Paco19 late_6235804021_J:Biotin	array assay	A-MEXP-2072	ArrayExpress	P-MTAB-47271	PACO_lines_raw_data.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4029/E-MTAB-4029.raw.1.zip	P-MTAB-47270	PACO_line_qnorm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4029/E-MTAB-4029.processed.1.zip	Paco19 late_6235804021_J	PACO19	no xenograft
