StableId	Symbol	t
ENSG00000219073	CELA3B	14.26907616
ENSG00000137392	CLPS	13.9069519
ENSG00000168925	CTRB1	13.43371344
ENSG00000158516	CPA2	13.41793696
ENSG00000091704	CPA1	13.19971116
ENSG00000138161	CUZD1	13.11544968
ENSG00000204787	REG1P	12.90667027
ENSG00000168928	CTRB2	12.7891282
ENSG00000187021	PNLIPRP1	12.67305798
ENSG00000142789	CELA3A	12.39982668
ENSG00000170835	CEL	11.84055199
ENSG00000162438	CTRC	11.63880224
ENSG00000103375	AQP8	11.27711615
ENSG00000240338	RP11-331F4.4	11.14028854
ENSG00000143954	REG3G	11.07291655
ENSG00000114204	SERPINI2	10.99281669
ENSG00000170890	PLA2G1B	10.67114886
ENSG00000124232	RBPJL	10.62857629
ENSG00000141086	CTRL	9.305430182
ENSG00000179751	SYCN	9.185126824
ENSG00000172023	REG1B	8.925363007
ENSG00000204983	PRSS1	8.57953462
ENSG00000158014	SLC30A2	8.522349574
ENSG00000153002	CPB1	8.489240438
ENSG00000139055	ERP27	8.45832425
ENSG00000250591	PRSS3P1	8.455879916
ENSG00000243480	AMY2A	8.372035127
ENSG00000215704	CELA2B	8.292218421
ENSG00000174672	BRSK2	8.037200562
ENSG00000167748	KLK1	8.014017815
ENSG00000165862	PNLIPRP2	7.968805961
ENSG00000188338	SLC38A3	7.966504708
ENSG00000142615	CELA2A	7.926167804
ENSG00000250606	PRSS3P2	7.858343381
ENSG00000240038	AMY2B	7.737737171
ENSG00000152779	SLC16A12	7.612688168
ENSG00000175535	PNLIP	7.563299794
ENSG00000172016	REG3A	7.265393494
ENSG00000169347	GP2	7.251444161
ENSG00000088926	F11	7.036215564
ENSG00000171303	KCNK3	7.02837832
ENSG00000106927	AMBP	6.955752106
ENSG00000105290	APLP1	6.826789414
ENSG00000126259	KIRREL2	6.765427882
ENSG00000189292	FAM150B	6.679708366
ENSG00000130005	GAMT	6.676776434
ENSG00000104760	FGL1	6.542736153
ENSG00000185615	PDIA2	6.362032538
ENSG00000137731	FXYD2	6.272325028
ENSG00000133958	UNC79	6.22876444
ENSG00000185518	SV2B	6.21664731
ENSG00000231013	AC013275.2	6.136238011
ENSG00000130294	KIF1A	6.112994191
ENSG00000010438	PRSS3	6.087780531
ENSG00000176406	RIMS2	6.033928383
ENSG00000161270	NPHS1	5.976441475
ENSG00000169862	CTNND2	5.856933139
ENSG00000066032	CTNNA2	5.707962603
ENSG00000171759	PAH	5.70572425
ENSG00000169856	ONECUT1	5.703517865
ENSG00000173930	SLCO4C1	5.664098005
ENSG00000147488	ST18	5.637409728
ENSG00000165443	PHYHIPL	5.606456274
ENSG00000124374	PAIP2B	5.577178021
ENSG00000110436	SLC1A2	5.556374766
ENSG00000040731	CDH10	5.538503693
ENSG00000180535	BHLHA15	5.481779357
ENSG00000151952	TMEM132D	5.478570848
ENSG00000039537	C6	5.464504075
ENSG00000241935	HOGA1	5.457143515
ENSG00000150627	WDR17	5.452830229
ENSG00000115386	REG1A	5.390881902
ENSG00000251594	RP11-728F11.1	5.310144295
ENSG00000108309	RUNDC3A	5.30835994
ENSG00000197584	KCNMB2	5.284278758
ENSG00000158813	EDA	5.278154312
ENSG00000244067	GSTA2	5.276815507
ENSG00000134463	ECHDC3	5.25294324
ENSG00000187045	TMPRSS6	5.225626659
ENSG00000138356	AOX1	5.216803705
ENSG00000188488	SERPINA5	5.177810571
ENSG00000176533	GNG7	5.157968372
ENSG00000090661	CERS4	5.130126318
ENSG00000170099	SERPINA6	5.125593891
ENSG00000175497	DPP10	5.057354714
ENSG00000137860	SLC28A2	5.052149162
ENSG00000184515	BEX5	5.050280564
ENSG00000116833	NR5A2	5.028847208
ENSG00000157315	TMED6	5.024156586
ENSG00000151224	MAT1A	4.956441388
ENSG00000105707	HPN	4.941981824
ENSG00000108849	PPY	4.896804969
ENSG00000114279	FGF12	4.813711516
