StableId	Symbol	t
ENSG00000129007	CALML4	6.056238136
ENSG00000103056	SMPD3	6.038835688
ENSG00000205611	RP4-610C12.4	6.012349056
ENSG00000187258	NPSR1	6.012054784
ENSG00000172367	PDZD3	5.970590502
ENSG00000168631	DPCR1	5.759936691
ENSG00000144852	NR1I2	5.512711446
ENSG00000169994	MYO7B	5.422123223
ENSG00000232872	CTAGE3P	5.289587508
ENSG00000140474	ULK3	5.289225053
ENSG00000124205	EDN3	5.195692677
ENSG00000235379	RPL7P31	5.175863805
ENSG00000009765	IYD	5.144095336
ENSG00000175311	ANKS4B	5.121344616
ENSG00000123191	ATP7B	5.08826254
ENSG00000176454	LPCAT4	5.043311352
ENSG00000183778	B3GALT5	5.039375356
ENSG00000213996	TM6SF2	5.008181905
ENSG00000101342	C20orf118	5.001886756
ENSG00000232756	RP5-1185I7.1	4.97279022
ENSG00000255774	AP000439.3	4.950244993
ENSG00000104537	ANXA13	4.907023231
ENSG00000165841	CYP2C19	4.833875171
ENSG00000069764	PLA2G10	4.791255241
ENSG00000184809	C21orf88	4.760200138
ENSG00000198643	FAM3D	4.746102861
ENSG00000095539	SEMA4G	4.72589697
ENSG00000233041	PHGR1	4.724257609
ENSG00000110628	SLC22A18	4.709906747
ENSG00000169876	MUC17	4.704352955
ENSG00000109265	KIAA1211	4.703007974
ENSG00000140526	ABHD2	4.675977842
ENSG00000125170	DOK4	4.664921155
ENSG00000108242	CYP2C18	4.65383354
ENSG00000010310	GIPR	4.634502893
ENSG00000233930	RP13-25N22.1	4.606399773
ENSG00000197085	NPSR1-AS1	4.551686049
ENSG00000165475	CRYL1	4.537474123
ENSG00000174611	KY	4.532794762
ENSG00000176920	FUT2	4.519133239
ENSG00000113303	BTNL8	4.493094576
ENSG00000198286	CARD11	4.491796419
ENSG00000138109	CYP2C9	4.491534841
ENSG00000160145	KALRN	4.477430316
ENSG00000158467	AHCYL2	4.475646759
ENSG00000186204	CYP4F12	4.475263715
ENSG00000238045	AC009133.14	4.4716001
ENSG00000186529	CYP4F3	4.466389338
ENSG00000232070	TMEM253	4.446582767
ENSG00000133519	ZDHHC8P1	4.441128597
ENSG00000187288	CIDEC	4.437267069
ENSG00000248905	FMN1	4.42157197
ENSG00000188993	LRRC66	4.404215893
ENSG00000180745	CLRN3	4.398491115
ENSG00000204876	AC021218.2	4.381778067
ENSG00000173237	C11orf86	4.37175982
ENSG00000157064	NMNAT2	4.358673285
ENSG00000204860	FAM201A	4.341701677
ENSG00000075035	WSCD2	4.338340805
ENSG00000125648	SLC25A23	4.333769025
ENSG00000140391	TSPAN3	4.32941415
ENSG00000128655	PDE11A	4.328753781
ENSG00000167972	ABCA3	4.313087881
ENSG00000106665	CLIP2	4.302500296
ENSG00000130055	GDPD2	4.299539986
ENSG00000105523	FAM83E	4.288419202
ENSG00000036828	CASR	4.28589918
ENSG00000229719	AP001187.9	4.279995518
ENSG00000158158	CNNM4	4.272301063
ENSG00000090020	SLC9A1	4.271907718
ENSG00000119946	CNNM1	4.259054467
ENSG00000136828	RALGPS1	4.258617731
ENSG00000134443	GRP	4.254158774
ENSG00000106078	COBL	4.236494764
ENSG00000188037	CLCN1	4.224429672
ENSG00000076356	PLXNA2	4.221437104
ENSG00000119125	GDA	4.217486705
