ENSG00000138161	CUZD1
ENSG00000170915	PAQR8
ENSG00000162438	CTRC
ENSG00000170835	CEL
ENSG00000219073	CELA3B
ENSG00000091704	CPA1
ENSG00000158516	CPA2
ENSG00000066405	CLDN18
ENSG00000137392	CLPS
ENSG00000170476	MZB1
ENSG00000187021	PNLIPRP1
ENSG00000114204	SERPINI2
ENSG00000109265	KIAA1211
ENSG00000107242	PIP5K1B
ENSG00000165475	CRYL1
ENSG00000124232	RBPJL
ENSG00000162878	PKDCC
ENSG00000204787	REG1P
ENSG00000103375	AQP8
ENSG00000145703	IQGAP2
ENSG00000175538	KCNE3
ENSG00000196188	CTSE
ENSG00000243290	IGKV1-12
ENSG00000168925	CTRB1
ENSG00000211592	IGKC
ENSG00000231486	AC096579.7
ENSG00000204876	AC021218.2
ENSG00000154153	FAM134B
ENSG00000211896	IGHG1
ENSG00000188959	C9orf152
ENSG00000074370	ATP2A3
ENSG00000198944	SOWAHA
ENSG00000164690	SHH
ENSG00000090382	LYZ
ENSG00000204128	C2orf72
ENSG00000204983	PRSS1
ENSG00000211666	IGLV2-14
ENSG00000147697	GSDMC
ENSG00000120306	CYSTM1
ENSG00000240338	RP11-331F4.4
ENSG00000060138	CSDA
ENSG00000142789	CELA3A
ENSG00000099958	DERL3
ENSG00000142484	TM4SF5
ENSG00000251546	IGKV1D-39
ENSG00000168928	CTRB2
ENSG00000131781	FMO5
ENSG00000169891	REPS2
ENSG00000143954	REG3G
ENSG00000113303	BTNL8
ENSG00000155093	PTPRN2
ENSG00000148700	ADD3
ENSG00000143416	SELENBP1
ENSG00000170890	PLA2G1B
ENSG00000160182	TFF1
ENSG00000108242	CYP2C18
ENSG00000102096	PIM2
ENSG00000196975	ANXA4
ENSG00000002726	ABP1
ENSG00000211945	IGHV1-18
ENSG00000241351	IGKV3-11
ENSG00000077147	TM9SF3
ENSG00000103056	SMPD3
ENSG00000211679	IGLC3
ENSG00000139874	SSTR1
ENSG00000173926	MARCH3
ENSG00000141448	GATA6
ENSG00000069764	PLA2G10
ENSG00000244437	IGKV3-15
ENSG00000211956	IGHV4-34
ENSG00000141086	CTRL
ENSG00000197520	FAM177B
ENSG00000091490	SEL1L3
ENSG00000211897	IGHG3
ENSG00000263429	LINC00675
ENSG00000211598	IGKV4-1
ENSG00000163501	IHH
ENSG00000140391	TSPAN3
ENSG00000230937	MIR205HG
ENSG00000134193	REG4
ENSG00000132465	IGJ
ENSG00000111275	ALDH2
ENSG00000105290	APLP1
ENSG00000211966	IGHV5-51
ENSG00000175984	DENND2C
ENSG00000198478	SH3BGRL2
ENSG00000211967	IGHV3-53
ENSG00000143297	FCRL5
ENSG00000188993	LRRC66
ENSG00000081803	CADPS2
ENSG00000211660	IGLV2-23
ENSG00000179588	ZFPM1
ENSG00000135773	CAPN9
ENSG00000211895	IGHA1
ENSG00000179751	SYCN
ENSG00000175311	ANKS4B
ENSG00000138190	EXOC6
ENSG00000105369	CD79A
ENSG00000244116	IGKV2-28
ENSG00000211663	IGLV3-19
ENSG00000211653	IGLV1-40
ENSG00000254709	IGLL5
ENSG00000167183	PRR15L
ENSG00000239855	IGKV1-6
ENSG00000211968	IGHV1-58
ENSG00000211673	IGLV3-1
ENSG00000132437	DDC
