StableId	Symbol	t
ENSG00000154102	C16orf74	9.954770432
ENSG00000147697	GSDMC	9.648551105
ENSG00000175984	DENND2C	8.670679368
ENSG00000260833	AC124789.1	8.172395754
ENSG00000230937	MIR205HG	7.95535629
ENSG00000196460	RFX8	7.821862572
ENSG00000121742	GJB6	7.678954705
ENSG00000225485	ARHGAP23	7.577307395
ENSG00000041982	TNC	7.501873797
ENSG00000104892	KLC3	7.429322178
ENSG00000163207	IVL	7.426360546
ENSG00000166535	A2ML1	7.356678691
ENSG00000196754	S100A2	7.281162715
ENSG00000124215	CDH26	7.271288517
ENSG00000105974	CAV1	7.212007834
ENSG00000186807	ANXA8L2	7.177856301
ENSG00000175592	FOSL1	7.162701679
ENSG00000179431	FJX1	7.157649023
ENSG00000260549	MT1L	7.154374093
ENSG00000165390	ANXA8	7.149216725
ENSG00000165996	PTPLA	7.104741262
ENSG00000182782	HCAR2	7.068808695
ENSG00000149948	HMGA2	7.04827642
ENSG00000179241	LDLRAD3	7.039458531
ENSG00000060138	CSDA	7.021989043
ENSG00000185386	MAPK11	7.009289682
ENSG00000172965	AC068491.1	7.006552418
ENSG00000151136	BTBD11	7.005231443
ENSG00000147509	RGS20	7.003597568
ENSG00000088726	TMEM40	6.98649287
ENSG00000172548	NIPAL4	6.97692904
ENSG00000174775	HRAS	6.971067725
ENSG00000203722	RAET1G	6.931935227
ENSG00000177494	ZBED2	6.925126094
ENSG00000128274	A4GALT	6.919963143
ENSG00000176014	TUBB6	6.876762491
ENSG00000124882	EREG	6.857704045
ENSG00000087494	PTHLH	6.818827827
ENSG00000140519	RHCG	6.799147995
ENSG00000146648	EGFR	6.787081142
ENSG00000178752	FAM132B	6.770096631
ENSG00000205420	KRT6A	6.720645684
ENSG00000170779	CDCA4	6.673024695
ENSG00000186081	KRT5	6.631243459
ENSG00000242147	RP13-463N16.6	6.625654044
ENSG00000183876	ARSI	6.620006224
ENSG00000161638	ITGA5	6.615404883
ENSG00000133466	C1QTNF6	6.612990481
ENSG00000267123	CTD-2357A8.3	6.578369154
ENSG00000115008	IL1A	6.570552501
ENSG00000176170	SPHK1	6.519584802
ENSG00000183696	UPP1	6.513678903
ENSG00000205754	SLCO1B7	6.512541424
ENSG00000157168	NRG1	6.499842379
ENSG00000130270	ATP8B3	6.483778936
ENSG00000148680	HTR7	6.478093028
ENSG00000073282	TP63	6.471585378
ENSG00000125148	MT2A	6.457271025
ENSG00000151694	ADAM17	6.417254985
ENSG00000095752	IL11	6.403774592
ENSG00000134762	DSC3	6.402200773
ENSG00000124466	LYPD3	6.383029963
