Table S3 - Differentially expressed genes between paired epithelial and stromal LCM samples (FDR < 0.05)						
GeneSymbol	log2FC	Predicted_Compartment				
EPYC	6.92	Stromal				
MATN3	6.58	Stromal				
IGF1	6.48	Stromal				
SFRP4	6.39	Stromal				
SFRP2	6.24	Stromal				
IGJ	6.23	Stromal				
LOC100294406	6.18	Stromal				
SMOC2	6.06	Stromal				
SFRP1	6.01	Stromal				
IGLL5	5.99	Stromal				
COL14A1	5.92	Stromal				
FGF7	5.91	Stromal				
COL8A1	5.84	Stromal				
COMP	5.76	Stromal				
OMD	5.63	Stromal				
PRELP	5.61	Stromal				
HMCN1	5.59	Stromal				
DCN	5.56	Stromal				
LRRC15	5.54	Stromal				
SGCD	5.47	Stromal				
PCOLCE	5.46	Stromal				
PDGFRA	5.45	Stromal				
CCDC80	5.45	Stromal				
SERPINF1	5.41	Stromal				
ISLR	5.41	Stromal				
MFAP5	5.36	Stromal				
ITGBL1	5.33	Stromal				
CXCL12	5.32	Stromal				
TIMP3	5.30	Stromal				
C7	5.29	Stromal				
FBLN1	5.28	Stromal				
COL11A1	5.24	Stromal				
PDPN	5.24	Stromal				
CTSK	5.18	Stromal				
THBS2	5.15	Stromal				
LUM	5.12	Stromal				
AEBP1	5.12	Stromal				
COL3A1	5.11	Stromal				
FBN1	5.11	Stromal				
COL10A1	5.11	Stromal				
OLFML2B	5.10	Stromal				
GAS7	5.09	Stromal				
FBXL7	5.08	Stromal				
CDH11	5.06	Stromal				
SCUBE3	5.03	Stromal				
CDR1	4.99	Stromal				
THY1	4.98	Stromal				
MMP2	4.98	Stromal				
OGN	4.95	Stromal				
PODN	4.95	Stromal				
FNDC1	4.94	Stromal				
CTHRC1	4.92	Stromal				
GREM1	4.92	Stromal				
COL1A1	4.92	Stromal				
CPA3	4.91	Stromal				
MRVI1	4.91	Stromal				
RUNX1T1	4.90	Stromal				
LOX	4.90	Stromal				
MFAP4	4.87	Stromal				
SYNPO2	4.87	Stromal				
SVEP1	4.86	Stromal				
MOXD1	4.85	Stromal				
INHBA	4.83	Stromal				
APOD	4.82	Stromal				
COL6A3	4.81	Stromal				
BGN	4.80	Stromal				
COL5A1	4.80	Stromal				
IGFBP5	4.80	Stromal				
ADAMTS2	4.79	Stromal				
BASP1	4.78	Stromal				
SULF1	4.78	Stromal				
GPNMB	4.78	Stromal				
TAGLN	4.78	Stromal				
MGP	4.75	Stromal				
MYL9	4.74	Stromal				
PRRX1	4.74	Stromal				
F13A1	4.73	Stromal				
CYR61	4.71	Stromal				
EPHA3	4.71	Stromal				
LAMA2	4.71	Stromal				
GLI3	4.71	Stromal				
COL1A2	4.70	Stromal				
FBLN5	4.70	Stromal				
OLFML3	4.70	Stromal				
WISP1	4.70	Stromal				
DIO2	4.68	Stromal				
SPARC	4.68	Stromal				
RBMS3	4.67	Stromal				
COL15A1	4.66	Stromal				
COL5A2	4.65	Stromal				
ACTA2	4.64	Stromal				
LRRC32	4.61	Stromal				
MAP1A	4.59	Stromal				
ADAMTS12	4.58	Stromal				
POSTN	4.56	Stromal				
LHFP	4.55	Stromal				
PCDH18	4.55	Stromal				
MXRA8	4.55	Stromal				
SPOCK1	4.54	Stromal				
NTM	4.54	Stromal				
LTBP2	4.53	Stromal				
ENG	4.53	Stromal				
MIR100HG	4.53	Stromal				
GPR124	4.52	Stromal				
CD248	4.52	Stromal				
ASPN	4.49	Stromal				
IGFBP7	4.47	Stromal				
PDGFRB	4.47	Stromal				
PLXDC2	4.47	Stromal				
ITGA11	4.46	Stromal				
DDR2	4.46	Stromal				
NEXN	4.39	Stromal				
MSRB3	4.39	Stromal				
ARHGEF6	4.37	Stromal				
FGFR1	4.36	Stromal				
ANTXR1	4.36	Stromal				
CRISPLD2	4.35	Stromal				
BNC2	4.32	Stromal				
CXCL14	4.30	Stromal				
THBS1	4.30	Stromal				
CTGF	4.30	Stromal				
COL12A1	4.28	Stromal				
CYP1B1	4.27	Stromal				
SLIT2	4.26	Stromal				
FN1	4.26	Stromal				
COL4A1	4.26	Stromal				
C1S	4.26	Stromal				
TCF4	4.25	Stromal				
ADAM12	4.25	Stromal				
TMEM200A	4.25	Stromal				
CALD1	4.22	Stromal				
COL4A2	4.20	Stromal				
LOXL2	4.15	Stromal				
FAP	4.14	Stromal				
ZCCHC24	4.13	Stromal				
DKK3	4.11	Stromal				
NPR3	4.08	Stromal				
SPARCL1	4.07	Stromal				
ECM2	4.07	Stromal				
ADAM22	4.06	Stromal				
WNT5A	4.06	Stromal				
MPEG1	4.05	Stromal				
LEF1	4.05	Stromal				
EGR2	4.04	Stromal				
COL6A2	4.02	Stromal				
C1R	4.01	Stromal				
RGS1	3.99	Stromal				
SDC2	3.98	Stromal				
F2R	3.97	Stromal				
DLC1	3.96	Stromal				
FCGR2A	3.95	Stromal				
F2RL2	3.95	Stromal				
EDIL3	3.94	Stromal				
