StableId	Symbol	t
ENSG00000170476	MZB1	11.61579128
ENSG00000211956	IGHV4-34	10.0027391
ENSG00000243290	IGKV1-12	9.989867081
ENSG00000211964	IGHV3-48	9.915073483
ENSG00000211966	IGHV5-51	9.889874922
ENSG00000048462	TNFRSF17	10.0293221
ENSG00000211666	IGLV2-14	9.705324888
ENSG00000211663	IGLV3-19	9.677963455
ENSG00000143297	FCRL5	9.597230643
ENSG00000251546	IGKV1D-39	9.576761914
ENSG00000211945	IGHV1-18	9.540334075
ENSG00000211974	IGHV2-70	9.401925782
ENSG00000099958	DERL3	9.371352683
ENSG00000211942	IGHV3-13	9.397516354
ENSG00000244437	IGKV3-15	9.337462458
ENSG00000211967	IGHV3-53	9.330554116
ENSG00000211653	IGLV1-40	9.310804565
ENSG00000211598	IGKV4-1	9.320169199
ENSG00000211673	IGLV3-1	9.279204488
ENSG00000211965	IGHV3-49	9.282119383
ENSG00000211973	IGHV1-69	9.147365629
ENSG00000211968	IGHV1-58	9.249933378
ENSG00000241351	IGKV3-11	9.106346041
ENSG00000254709	IGLL5	9.076127444
ENSG00000105369	CD79A	9.008404377
ENSG00000244116	IGKV2-28	9.004590735
ENSG00000211637	IGLV4-69	8.915136902
ENSG00000242076	IGKV1-33	8.854376023
ENSG00000211970	IGHV4-61	8.829724469
ENSG00000211660	IGLV2-23	8.824827451
ENSG00000110777	POU2AF1	8.761570507
ENSG00000211936	IGHV4-4	8.763851666
ENSG00000211962	IGHV1-46	8.701619975
ENSG00000211651	IGLV1-44	8.666232014
ENSG00000224650	IGHV3-74	8.65501201
ENSG00000211941	IGHV3-11	8.569182325
ENSG00000211937	IGHV2-5	8.560257726
ENSG00000211659	IGLV3-25	8.526980688
ENSG00000224373	IGHV4-59	8.514047439
ENSG00000211662	IGLV3-21	8.503630984
ENSG00000211955	IGHV3-33	8.499695673
ENSG00000224041	IGKV3D-15	8.507774273
ENSG00000211897	IGHG3	8.50316941
ENSG00000211655	IGLV1-36	8.54209874
ENSG00000253364	RP11-731F5.2	8.544367821
ENSG00000239951	IGKV3-20	8.472554067
ENSG00000102096	PIM2	8.442115843
ENSG00000122188	LAX1	8.39856582
ENSG00000231486	AC096579.7	8.430433796
ENSG00000239855	IGKV1-6	8.323955552
ENSG00000211640	IGLV6-57	8.272892427
ENSG00000243466	IGKV1-5	8.279192897
ENSG00000211947	IGHV3-21	8.210609476
ENSG00000253755	IGHGP	8.295809551
ENSG00000211664	IGLV2-18	8.207081786
ENSG00000211644	IGLV1-51	8.141787656
ENSG00000211668	IGLV2-11	8.113743195
ENSG00000211949	IGHV3-23	8.11731921
ENSG00000232216	IGHV3-43	8.105463729
ENSG00000211950	IGHV1-24	8.078524305
ENSG00000211938	IGHV3-7	8.08037659
ENSG00000240864	IGKV1-16	8.044315621
ENSG00000244575	IGKV1-27	7.991725562
ENSG00000211648	IGLV1-47	7.899961982
ENSG00000211946	IGHV3-20	7.937717454
ENSG00000211679	IGLC3	7.907929509
ENSG00000241294	IGKV2-24	7.758534969
ENSG00000211943	IGHV3-15	7.738233672
ENSG00000211675	IGLC1	7.739301071
ENSG00000211951	IGHV2-26	7.65484677
ENSG00000139193	CD27	7.626201518
ENSG00000211896	IGHG1	7.631699553
ENSG00000241244	IGKV1D-16	7.626459341
ENSG00000253818	IGLV1-41	7.614995064
ENSG00000211952	IGHV4-28	7.481029321
ENSG00000211592	IGKC	7.434538
ENSG00000211669	IGLV3-10	7.402662594
ENSG00000211933	IGHV6-1	7.380681346
ENSG00000211625	IGKV3D-20	7.355605087
ENSG00000211893	IGHG2	7.363616103
ENSG00000225698	IGHV3-72	7.297653448
ENSG00000132465	IGJ	7.329804948
ENSG00000211959	IGHV4-39	7.201736747
ENSG00000211671	IGLV2-8	7.161033539
ENSG00000211652	IGLV7-43	7.134798938
ENSG00000167077	MEI1	7.119328412
ENSG00000211976	IGHV3-73	7.116251009
ENSG00000243238	IGKV2-30	7.089936689
ENSG00000132185	FCRLA	7.062997481
ENSG00000137265	IRF4	7.059546246
ENSG00000231475	IGHV4-31	7.032263117
ENSG00000211892	IGHG4	7.06974404
ENSG00000225523	IGKV6D-21	7.017083774
ENSG00000211895	IGHA1	6.907432339
ENSG00000241755	IGKV1-9	6.854136489
ENSG00000211953	IGHV3-30	6.84540239
ENSG00000259261	IGHV4OR15-8	6.668030191
ENSG00000211890	IGHA2	6.715509344
ENSG00000240382	IGKV1-17	6.648839475
ENSG00000211670	IGLV3-9	6.638556345
ENSG00000243264	IGKV2D-29	6.548720205
ENSG00000189233	NUGGC	6.519145858
ENSG00000211685	IGLC7	6.532835931
ENSG00000004468	CD38	6.466044844
ENSG00000223648	IGHV3-64	6.451336808
ENSG00000211611	IGKV6-21	6.450415411
ENSG00000211650	IGLV5-45	6.421030868
ENSG00000035720	STAP1	6.392396537
ENSG00000211934	IGHV1-2	6.330646439
ENSG00000167476	JSRP1	6.279971686
ENSG00000183508	FAM46C	6.164205112
ENSG00000177272	KCNA3	6.08440192
ENSG00000161405	IKZF3	6.080943843
ENSG00000211899	IGHM	6.122940257
ENSG00000211649	IGLV7-46	6.011631753
ENSG00000211630	IGKV1D-13	5.961609886
ENSG00000259834	RP11-284N8.3	5.892957659
ENSG00000115165	CYTIP	5.853882701
ENSG00000007312	CD79B	5.823851155
ENSG00000172322	CLEC12A	5.751685049
ENSG00000211939	IGHV1-8	5.73749052
ENSG00000239264	TXNDC5	5.748985053
ENSG00000230006	ANKRD36BP2	5.80343753
ENSG00000136573	BLK	5.73398587
ENSG00000124772	CPNE5	5.689779037
ENSG00000134285	FKBP11	5.661724588
ENSG00000241106	HLA-DOB	5.576598923
ENSG00000242371	IGKV1-39	5.598558353
ENSG00000242766	IGKV1D-17	5.560982126
ENSG00000111644	ACRBP	5.435902378
ENSG00000240834	IGKV1D-12	5.418916178
ENSG00000211972	IGHV3-66	5.369095292
ENSG00000076662	ICAM3	5.414009429
ENSG00000211935	IGHV1-3	5.343851754
ENSG00000112699	GMDS	5.367323575
ENSG00000109819	PPARGC1A	5.331221756
ENSG00000124786	SLC35B3	5.250975024
ENSG00000253998	IGKV2-29	5.167409769
ENSG00000110448	CD5	5.239279036
ENSG00000122224	LY9	5.146902303
ENSG00000078589	P2RY10	5.131691891
ENSG00000137502	RAB30	5.093930695
ENSG00000211898	IGHD	5.057657806
ENSG00000227507	LTB	5.066384122
ENSG00000026751	SLAMF7	5.056775388
ENSG00000167208	SNX20	4.990594789
ENSG00000213402	PTPRCAP	4.988557594
ENSG00000154305	MIA3	4.976487435
ENSG00000138670	RASGEF1B	4.975176434
ENSG00000145088	EAF2	4.966783402
ENSG00000111859	NEDD9	4.927633913
ENSG00000163734	CXCL3	4.897177486
ENSG00000100219	XBP1	4.857183676
ENSG00000211677	IGLC2	4.928571935
ENSG00000178538	CA8	4.741338008
ENSG00000162739	SLAMF6	4.725862674
ENSG00000168421	RHOH	4.699454034
ENSG00000156738	MS4A1	4.665122437
ENSG00000162998	FRZB	4.646618956
ENSG00000196092	PAX5	4.591849767
ENSG00000100368	CSF2RB	4.585698151
ENSG00000160654	CD3G	4.528169848
ENSG00000132704	FCRL2	4.521561925
ENSG00000179914	ITLN1	4.506887325
ENSG00000144837	PLA1A	4.505480471
ENSG00000156234	CXCL13	4.501575585
ENSG00000070759	TESK2	4.501040536
ENSG00000090382	LYZ	4.492351411
ENSG00000096088	PGC	4.485629916
ENSG00000143603	KCNN3	4.478432722
ENSG00000181274	FRAT2	4.45867985
ENSG00000188257	PLA2G2A	4.456856401
ENSG00000104321	TRPA1	4.455742155
ENSG00000198327	HIST1H4F	4.425878764
ENSG00000006606	CCL26	4.413949721
ENSG00000154153	FAM134B	4.351281909
ENSG00000169442	CD52	4.326070324
ENSG00000162894	FAIM3	4.321134804
ENSG00000122176	FMOD	4.308978021
ENSG00000077147	TM9SF3	4.302732285
ENSG00000160856	FCRL3	4.278584715
ENSG00000259075	POC1B-GALNT4	4.254373264
ENSG00000197520	FAM177B	4.23821647
ENSG00000117322	CR2	4.236517497
ENSG00000117143	UAP1	4.23640876
ENSG00000114248	LRRC31	4.229825237
ENSG00000182240	BACE2	4.216213846
ENSG00000125999	BPIFB1	4.213788183
ENSG00000211638	IGLV8-61	4.216165572
ENSG00000116824	CD2	4.180854548
ENSG00000135063	FAM189A2	4.166100144
ENSG00000256546	AC156455.1	-4.147312368
ENSG00000138294	MSMB	4.156913787
ENSG00000166669	ATF7IP2	4.153047167
ENSG00000170298	LGALS9B	4.149419797
ENSG00000185477	GPRIN3	4.142776153
